gs_id	gene_id
GO:0043623	9168
GO:0043623	9212
GO:0043623	9353
GO:0043623	9372
GO:0043623	9493
GO:0043623	9530
GO:0043623	9659
GO:0043623	9840
GO:0043623	9892
GO:0043623	9997
GO:0043623	10013
GO:0043623	10059
GO:0043623	10092
GO:0043623	10093
GO:0043623	10094
GO:0043623	10095
GO:0043623	10096
GO:0043623	10109
GO:0043623	10273
GO:0043623	10344
GO:0043623	10376
GO:0043623	10381
GO:0043623	10382
GO:0043623	10383
GO:0043623	10435
GO:0043623	10471
GO:0043623	10497
GO:0043623	10552
GO:0043623	10565
GO:0043623	10576
GO:0043623	10677
GO:0043623	10693
GO:0043623	10718
GO:0043623	10810
GO:0043623	10959
GO:0043623	10972
GO:0043623	11013
GO:0043623	11047
GO:0043623	11065
GO:0043623	11075
GO:0043623	11076
GO:0043623	11078
GO:0043623	11151
GO:0043623	11344
GO:0043623	22919
GO:0043623	23126
GO:0043623	23149
GO:0043623	23165
GO:0043623	23189
GO:0043623	23542
GO:0043623	25839
GO:0043623	25909
GO:0043623	25915
GO:0043623	25999
GO:0043623	26054
GO:0043623	26271
GO:0043623	27175
GO:0043623	27338
GO:0043623	29078
GO:0043623	29127
GO:0043623	29990
GO:0043623	50632
GO:0043623	50853
GO:0043623	51174
GO:0043623	51175
GO:0043623	51298
GO:0043623	51332
GO:0043623	51371
GO:0043623	51378
GO:0043623	51807
GO:0043623	54443
GO:0043623	54902
GO:0043623	54968
GO:0043623	55036
GO:0043623	55154
GO:0043623	55172
GO:0043623	55471
GO:0043623	55706
GO:0043623	55835
GO:0043623	55971
GO:0043623	56984
GO:0043623	57180
GO:0043623	57505
GO:0043623	57580
GO:0043623	57606
GO:0043623	57731
GO:0043623	58526
GO:0043623	59341
GO:0043623	63908
GO:0043623	63971
GO:0043623	79003
GO:0043623	79133
GO:0043623	79608
GO:0043623	79738
GO:0043623	79861
GO:0043623	80086
GO:0043623	80152
GO:0043623	80224
GO:0043623	81027
GO:0043623	81857
GO:0043623	81873
GO:0043623	84100
GO:0043623	84617
GO:0043623	84688
GO:0043623	84722
GO:0043623	84790
GO:0043623	84987
GO:0043623	85477
GO:0043623	89780
GO:0043623	91647
GO:0043623	93661
GO:0043623	93664
GO:0043623	112714
GO:0043623	113457
GO:0043623	115548
GO:0043623	123872
GO:0043623	133746
GO:0043623	137682
GO:0043623	148170
GO:0043623	163126
GO:0043623	166379
GO:0043623	203068
GO:0043623	203547
GO:0043623	253260
GO:0043623	285521
GO:0043623	286527
GO:0043623	339829
GO:0043623	347688
GO:0043623	347733
GO:0043623	352909
GO:0043623	374291
GO:0043623	374666
GO:0043623	387103
GO:0043623	441161
GO:0043623	644096
GO:0045664	27
GO:0045664	43
GO:0045664	151
GO:0045664	152
GO:0045664	182
GO:0045664	207
GO:0045664	348
GO:0045664	351
GO:0045664	382
GO:0045664	387
GO:0045664	389
GO:0045664	396
